基金代码,基金简称,基金类型,成立时间,最新规模,评级机构,基金评级
007244,安信核心竞争力混合C,混合型-灵活,2019-06-05,633.69万,,暂无评级
007245,安信鑫日享中短债A,债券型-中短债,2019-05-30,51.59亿,,暂无评级
007246,安信鑫日享中短债C,债券型-中短债,2019-05-30,19.74亿,,暂无评级
007247,易方达汇智稳健养老一年持有混合(FOF)A,FOF-稳健型,2019-11-05,5214.71万,,暂无评级
007249,广发均衡养老三年持有混合(FOF)A,FOF-均衡型,2019-09-24,8070.19万,,暂无评级
007250,广发养老2050五年持有混合发起式(FOF)A,FOF-均衡型,2019-04-26,2.06亿,,暂无评级
007251,广发睿享稳健增利混合A,混合型-偏债,2019-08-21,9663.10万,,暂无评级
007252,广发中债农发债总指数A,指数型-固收,2019-11-20,120.19亿,,暂无评级
007253,广发中债农发债总指数C,指数型-固收,2019-11-20,2.50亿,,暂无评级
007254,广发均衡价值混合A,混合型-偏股,2019-06-21,5057.81万,,暂无评级
007255,华宝稳健养老(FOF)A,FOF-稳健型,2019-04-25,6129.76万,,暂无评级
007256,广发汇阳三个月定期开放债券,债券型-长债,,,,
007259,民生加银1-3年农发行债,指数型-固收,2019-05-27,52.45亿,,暂无评级
007260,国投瑞银顺祺纯债,债券型-长债,2019-07-09,50.67亿,,暂无评级
007261,融通消费升级混合A,混合型-偏股,2019-07-16,7669.45万,,暂无评级
007262,东方红聚利债券A,债券型-混合一级,2019-09-06,17.99亿,,暂无评级
007263,东方红聚利债券C,债券型-混合一级,2019-09-06,4.64亿,,暂无评级
007266,嘉实新添益定期混合A,混合型-偏债,2019-08-09,5248.39万,,暂无评级
007267,嘉实新添益定期混合C,混合型-偏债,2019-08-09,83.35万,,暂无评级
007268,山西证券裕睿6个月定开债A,债券型-长债,,,,
007269,山西证券裕睿6个月定开债C,债券型-长债,,,,
007271,鹏华养老2045三年持有混合发起式(FOF)A,FOF-均衡型,2019-04-22,2.39亿,,暂无评级
007272,景顺稳健养老目标三年混合(FOF)A,FOF-均衡型,2019-09-26,1.56亿,,暂无评级
007275,银河沪深300指数增强A,指数型-股票,2019-08-29,1.01亿,,暂无评级
007276,银河沪深300指数增强C,指数型-股票,2019-08-29,1.43亿,,暂无评级
007277,恒生前海消费升级混合,混合型-偏股,2020-01-19,3365.48万,,暂无评级
007278,国泰兴富三个月定开债,债券型-长债,,,,
007279,永赢众利债券A,债券型-长债,2019-07-11,97.07亿,,暂无评级
007280,摩根日本精选股票(QDII)A,QDII-普通股票,2019-07-31,16.10亿,,暂无评级
007282,华夏鼎淳债券A,债券型-混合二级,2019-08-21,1.07亿,,暂无评级
007283,华夏鼎淳债券C,债券型-混合二级,2019-08-21,1275.82万,,暂无评级
007284,工银中债1-5年进出口行A,指数型-固收,2019-11-28,18.61亿,,暂无评级
007285,工银中债1-5年进出口行C,指数型-固收,2019-11-28,188.54万,,暂无评级
007286,中邮纯债裕利三个月定开债,债券型-长债,,,,
007287,合煦智远消费主题股票发起式A,股票型,,,,
007288,合煦智远消费主题股票发起式C,股票型,,,,
007289,汇添富中债1-3年农发债A,指数型-固收,2019-06-19,44.25亿,,暂无评级
007290,汇添富中债1-3年农发债C,指数型-固收,2019-06-19,1296.27万,,暂无评级
007291,汇丰晋信港股通双核策略混合,混合型-偏股,2019-08-02,5.92亿,,暂无评级
007292,民生加银兴盈债券,债券型-长债,,,,
007293,长信利信混合C,混合型-灵活,2019-04-25,377.01万,,暂无评级
007294,长信利信混合E,混合型-灵活,,,,
007295,天弘安益A,债券型-长债,2019-05-14,69.66亿,,暂无评级
007296,天弘安益C,债券型-长债,2019-05-14,1.94亿,,暂无评级
007297,大成养老2040(FOF)A,FOF-均衡型,2019-06-27,3613.17万,,暂无评级
007298,大成养老2040(FOF)C,FOF-均衡型,2019-06-27,540.94万,,暂无评级
007300,国联安中证半导体ETF联接A,指数型-股票,2019-06-26,11.07亿,,暂无评级
007301,国联安中证半导体ETF联接C,指数型-股票,2019-06-26,32.95亿,,暂无评级
007302,华宝宝盛债券A,债券型-长债,,,,
007303,京管泰富优势混合A,混合型-偏股,,,,
007304,京管泰富优势混合C,混合型-偏股,,,,
007305,国联安新科技混合,混合型-偏股,2019-09-27,8305.44万,,暂无评级
007306,华泰柏瑞基本面智选A,混合型-偏股,2019-06-05,7500.14万,,暂无评级
007307,华泰柏瑞基本面智选C,混合型-偏股,2019-06-05,2452.74万,,暂无评级
007308,华宝消费升级混合,混合型-偏股,2019-06-19,5709.45万,,暂无评级
007310,银华尊尚稳健养老混合(FOF)A,FOF-稳健型,2019-08-14,1.84亿,,暂无评级
007311,方正富邦添利纯债A,债券型-长债,2019-10-31,10.08亿,,暂无评级
007312,方正富邦添利纯债C,债券型-长债,2019-10-31,0万,,暂无评级
007315,汇安嘉盈一年持有期债券A,债券型-混合二级,2021-02-02,851.58万,,暂无评级
007316,交银可转债债券A,债券型-混合二级,2019-07-11,9262.30万,,暂无评级
007317,交银可转债债券C,债券型-混合二级,2019-07-11,2085.33万,,暂无评级
007318,中银民丰回报混合,混合型-偏债,2019-07-31,2.04亿,,暂无评级
007319,嘉实汇达中短债债券A,债券型-中短债,2019-06-05,37.28亿,,暂无评级
007320,嘉实汇达中短债债券C,债券型-中短债,2019-06-05,4.36亿,,暂无评级
007321,鹏华金利债券A,债券型-长债,,,,
007323,永赢久利债券,债券型-长债,,,,
007324,鑫元中债1-3年国开行债券指数A,指数型-固收,2019-11-07,32.80亿,,暂无评级
007325,鑫元中债1-3年国开行债券指数C,指数型-固收,2019-11-07,67.41万,,暂无评级
007326,国投瑞银新增长混合C,混合型-灵活,2019-05-08,2206.18万,,暂无评级
007327,前海联合泳辉纯债A,债券型-长债,2019-07-05,344.50万,,暂无评级
007328,招商添盈纯债E,债券型-长债,2019-05-10,633.45万,,暂无评级
007329,摩根瑞益纯债债券A,债券型-长债,2019-11-26,2.33亿,,暂无评级
007330,摩根瑞益纯债债券C,债券型-长债,2019-11-26,3249.82万,,暂无评级
007331,国泰惠融纯债债券,债券型-长债,2019-08-05,29.02亿,,暂无评级
007332,嘉合磐昇纯债A,债券型-长债,2019-11-15,13.28亿,,暂无评级
007333,嘉合磐昇纯债C,债券型-长债,2019-11-15,1.97亿,,暂无评级
007335,中银中债1-3年期农发行债,指数型-固收,2019-06-17,10.56亿,,暂无评级
007336,汇安嘉盛纯债债券A,债券型-长债,,,,
007337,汇安嘉盛纯债债券C,债券型-长债,,,,
007338,前海联合泳辉纯债C,债券型-长债,2019-07-05,1.15亿,,暂无评级
007339,易方达沪深300ETF联接C,指数型-股票,2019-04-25,63.02亿,,暂无评级
007340,南方科技创新混合A,混合型-偏股,2019-05-06,17.21亿,,暂无评级
007341,南方科技创新混合C,混合型-偏股,2019-05-06,3.35亿,,暂无评级
007342,国投瑞银顺臻纯债债券A,债券型-长债,2019-08-21,20.99亿,,暂无评级
007343,嘉实科技创新混合,混合型-偏股,2019-05-07,13.76亿,,暂无评级
007345,富国科技创新灵活配置混合,混合型-灵活,2019-05-06,6.47亿,,暂无评级
007346,易方达科技创新混合,混合型-偏股,2019-04-29,23.69亿,,暂无评级
007347,永赢昌利债券A,债券型-长债,,,,
007348,永赢昌利债券C,债券型-长债,,,,
007349,华夏科技创新混合A,混合型-偏股,2019-05-06,8.07亿,,暂无评级
007350,华夏科技创新混合C,混合型-偏股,2019-05-06,6411.29万,,暂无评级
007351,永赢同利债券A,债券型-长债,,,,
007352,永赢同利债券C,债券型-长债,,,,
007353,工银科技创新混合,混合型-偏股,2019-05-06,4.44亿,,暂无评级
007354,创金合信港股通量化股票A,股票型,2021-01-11,2.62亿,,暂无评级
007355,汇添富科技创新混合A,混合型-灵活,2019-05-06,16.87亿,,暂无评级
007356,汇添富科技创新混合C,混合型-灵活,2019-05-06,3.94亿,,暂无评级
007357,创金合信港股通量化股票C,股票型,2021-01-11,8123.63万,,暂无评级
007360,易方达中短期美元债(QDII)A人民币,QDII-纯债,2019-06-05,10.82亿,,暂无评级
007361,易方达中短期美元债(QDII)C人民币,QDII-纯债,2019-06-05,4.40亿,,暂无评级
007362,易方达中短期美元债(QDII)A美元现汇,QDII-纯债,,,,
007363,易方达中短期美元债(QDII)C美元现汇,QDII-纯债,,,,
007364,易方达中债1-3年政金债A,指数型-固收,2019-12-03,20.18亿,,暂无评级
007365,易方达中债1-3年政金债C,指数型-固收,2019-12-03,322.29万,,暂无评级
007368,浙商沪港深精选混合A,混合型-偏股,2019-06-27,4.48亿,,暂无评级
007369,浙商沪港深精选混合C,混合型-偏股,2019-06-27,3.18亿,,暂无评级
007370,华安安嘉定开,债券型-长债,,,,
007371,国联安增瑞政策性金融债纯债A,债券型-长债,,,,
007372,国联安增瑞政策性金融债纯债C,债券型-长债,,,,
007373,永赢卓利债券,债券型-长债,,,,
007374,永赢淳利债券,债券型-长债,,,,
007375,西部利得聚利6个月定开债A,债券型-长债,2019-07-16,13.62亿,,暂无评级
007376,西部利得聚利6个月定开债C,债券型-长债,2019-07-16,1628.07万,,暂无评级
007377,西部利得聚享一年定开债券A,债券型-长债,2019-06-27,10.75亿,,暂无评级
007378,西部利得聚享一年定开债券C,债券型-长债,2019-06-27,16.47万,,暂无评级
007379,易方达上证50ETF联接基金A,指数型-股票,2019-09-09,4.24亿,,暂无评级
007380,易方达上证50ETF联接基金C,指数型-股票,2019-09-09,4.97亿,,暂无评级
007381,国融融信消费严选混合A,混合型-偏股,2019-06-19,1365.37万,,暂无评级
007382,国融融信消费严选混合C,混合型-偏股,2019-06-19,172.92万,,暂无评级
007383,国融稳益债券A,债券型-长债,2021-12-24,5.26亿,,暂无评级
007384,国融稳益债券C,债券型-长债,2021-12-24,47.56万,,暂无评级
007385,华泰保兴安盈定开混合,混合型-偏债,2019-05-06,3.54亿,,暂无评级
007386,浙商中证500增强C,指数型-股票,2019-04-24,5086.30万,,暂无评级
007387,融通通慧混合C,混合型-偏债,2019-05-16,1310.28万,,暂无评级
007388,摩根研究驱动股票A,股票型,2020-06-12,3814.44万,,暂无评级
007389,摩根研究驱动股票C,股票型,2020-06-12,723.01万,,暂无评级
007390,上银中债1-3年农发行债券指数,指数型-固收,2019-06-19,1.02亿,,暂无评级
007391,申万菱信安泰丰利债券A,债券型-混合一级,2019-08-30,14.38亿,,暂无评级
007392,申万菱信安泰丰利债券C,债券型-混合一级,2019-08-30,6047.30万,,暂无评级
007393,上银未来生活灵活配置混合A,混合型-灵活,2019-07-15,2773.41万,,暂无评级
007394,东兴兴财短债债券A,债券型-中短债,2019-10-23,4.89亿,,暂无评级
007395,东兴兴财短债债券C,债券型-中短债,2019-10-23,3395.49万,,暂无评级
007396,广发景辉纯债,债券型-长债,,,,
007397,华宝沪港深价值指数C,指数型-股票,2019-05-17,452.18万,,暂无评级
007398,兴全磐稳增利债券C,债券型-混合一级,2019-12-27,683.57万,,暂无评级
007401,浦银颐和稳健养老一年(FOF)A,FOF-稳健型,2019-11-26,2.69亿,,暂无评级
007402,浦银颐和稳健养老一年(FOF)C,FOF-稳健型,2019-11-26,6.10亿,,暂无评级
007404,华宝沪深300指数增强C,指数型-股票,2019-05-24,7.49亿,,暂无评级
007405,华宝中证A100ETF联接C,指数型-股票,2019-05-10,8.52亿,,暂无评级
007406,银河睿鑫债券,债券型-长债,2019-12-26,6.05亿,,暂无评级
007407,农银养老2035混合(FOF)A,FOF-均衡型,2019-08-28,4959.25万,,暂无评级
007408,鹏扬淳开债券A,债券型-长债,2019-11-06,23.74亿,,暂无评级
007409,鹏扬淳开债券C,债券型-长债,2019-11-06,7.62亿,,暂无评级
007412,景顺长城绩优成长混合A,混合型-偏股,2019-07-02,42.16亿,,暂无评级
007413,长城中证500指数增强C,指数型-股票,2019-05-09,12.54亿,,暂无评级
007414,长江安盈中短债六个月定开A,债券型-中短债,2019-09-25,4.37亿,,暂无评级
007415,南方致远混合A,混合型-偏债,2019-05-30,8.67亿,,暂无评级
007416,南方致远混合C,混合型-偏债,2019-05-30,4.04亿,,暂无评级
007417,泰康信用精选债券A,债券型-长债,2019-09-04,14.53亿,,暂无评级
007418,泰康信用精选债券C,债券型-长债,2019-09-04,6735.36万,,暂无评级
007419,国寿安保泰弘纯债债券,债券型-长债,2019-07-23,79.04亿,,暂无评级
007420,华安鼎信3个月定开债,债券型-长债,,,,
007423,西部利得聚禾混合A,混合型-灵活,2020-09-23,1282.61万,,暂无评级
007424,西部利得聚禾混合C,混合型-灵活,2020-09-23,2807.67万,,暂无评级
007425,浙商汇金中高等级三个月A,债券型-混合一级,2019-06-21,9.29亿,,暂无评级
007426,浙商汇金聚盈中短债A,债券型-中短债,2019-06-25,3.14亿,,暂无评级
007427,永赢凯利债券,债券型-长债,,,,
007428,长信富瑞两年定开债券C,债券型-长债,,,,
007429,鹏扬淳盈6个月定开债A,债券型-长债,2019-06-21,2.44亿,,暂无评级
007430,鹏扬淳盈6个月定开债C,债券型-长债,2019-06-21,0万,,暂无评级
007431,浙商之江凤凰联接A,指数型-股票,2019-07-31,5263.53万,,暂无评级
007432,华泰保兴久盈63个月定开债,债券型-长债,2020-08-24,45.22亿,,暂无评级
007433,兴银合丰政策性金融债A,债券型-长债,2019-08-09,24.53亿,,暂无评级
007435,华宝宝怡债券,债券型-长债,,,,
007439,东海科技动力A,混合型-偏股,2019-06-26,1216.12万,,暂无评级
007440,南方旭元债券A,债券型-长债,,,,
007441,南方旭元债券C,债券型-长债,,,,
007442,浙商汇金中高等级三个月C,债券型-混合一级,2019-06-21,2613.64万,,暂无评级
007443,浙商汇金聚盈中短债C,债券型-中短债,2019-06-25,2325.67万,,暂无评级
007445,国投瑞银顺悦债券A,债券型-长债,2019-12-31,7307.55万,,暂无评级
007446,中欧增强回报债券(LOF)C,债券型-混合一级,2019-05-20,4003.00万,,暂无评级
007447,平安惠泰纯债,债券型-长债,2019-06-05,44.68亿,,暂无评级
007448,长信沪深300指数增强C,指数型-股票,2019-05-16,5.95亿,,暂无评级
007449,兴全多维价值混合A,混合型-偏股,2019-06-12,26.02亿,,暂无评级
007450,兴全多维价值混合C,混合型-偏股,2019-06-12,3.04亿,,暂无评级
007451,易方达恒兴3个月定开债,债券型-长债,,,,
007454,民生加银嘉盈债券,债券型-长债,2019-11-07,30.02亿,,暂无评级
007455,富国蓝筹精选股票(QDII)人民币,QDII-普通股票,2019-08-02,13.14亿,,暂无评级
007456,汇添富90天短债A,债券型-中短债,2019-06-12,49.30亿,,暂无评级
007457,汇添富90天短债B,债券型-中短债,2019-06-12,4.43亿,,暂无评级
007458,汇添富90天短债C,债券型-中短债,2019-06-12,732.20万,,暂无评级
007459,浙商惠睿纯债债券,债券型-长债,2020-02-05,3.02亿,,暂无评级
007460,华安成长创新混合A,混合型-偏股,2019-06-27,10.10亿,,暂无评级
007461,德邦锐泓债券A,债券型-长债,2019-09-17,54.52亿,,暂无评级
007462,德邦锐泓债券C,债券型-长债,2019-09-17,0万,,暂无评级
007463,东海科技动力C,混合型-偏股,2019-06-26,687.51万,,暂无评级
007464,交银创业板50指数A,指数型-股票,2019-11-20,14.75亿,,暂无评级
007465,交银创业板50指数C,指数型-股票,2019-11-20,30.11亿,,暂无评级
007466,华泰柏瑞中证红利低波ETF联接A,指数型-股票,2019-07-15,12.80亿,,暂无评级
007467,华泰柏瑞中证红利低波ETF联接C,指数型-股票,2019-07-15,19.75亿,,暂无评级
007468,中信建投精选混合A,混合型-偏股,2019-11-29,1.41亿,,暂无评级
007469,中信建投精选混合C,混合型-偏股,2019-11-29,7226.93万,,暂无评级
007470,博道叁佰智航股票A,股票型,2019-06-05,5.33亿,,暂无评级
007471,博道叁佰智航股票C,股票型,2019-06-05,10.34亿,,暂无评级
007472,华夏创业板价值ETF联接A,指数型-股票,2019-06-26,2.16亿,,暂无评级
007473,华夏创业板价值ETF联接C,指数型-股票,2019-06-26,9722.26万,,暂无评级
007474,华夏创业板成长ETF联接A,指数型-股票,2019-06-26,8.92亿,,暂无评级
007475,华夏创业板成长ETF联接C,指数型-股票,2019-06-26,5.02亿,,暂无评级
007478,中加恒泰定开债券A,债券型-长债,,,,
007479,光大保德信量化股票C,股票型,,,,
007480,中加优享纯债债券A,债券型-长债,,,,
007481,华夏逸享健康混合A,混合型-偏股,2019-11-06,6183.63万,,暂无评级
007482,永赢智益纯债三个月,债券型-长债,,,,
007484,信澳核心科技混合A,混合型-偏股,2019-08-14,12.49亿,,暂无评级
007485,博时中债3-5年国开行A,指数型-固收,2019-07-19,49.91亿,,暂无评级
007486,博时中债3-5年国开行C,指数型-固收,2019-07-19,9092.50万,,暂无评级
007488,万家民安增利12个月定开债A,债券型-长债,2019-07-31,80.12亿,,暂无评级
007489,万家民安增利12个月定开债C,债券型-长债,2019-07-31,0万,,暂无评级
007490,南方信息创新混合A,混合型-偏股,2019-06-19,29.35亿,,暂无评级
007491,南方信息创新混合C,混合型-偏股,2019-06-19,17.89亿,,暂无评级
007492,上银政策性金融债债券A,债券型-长债,2019-12-19,83.41亿,,暂无评级
007493,朱雀产业臻选混合A,混合型-偏股,2019-06-27,22.90亿,,暂无评级
007494,朱雀产业臻选混合C,混合型-偏股,2019-06-27,6.63亿,,暂无评级
007495,兴业中债1-3年政金债C,指数型-固收,2019-05-27,61.52万,,暂无评级
007496,农银汇理丰泽三年定开债,债券型-长债,,,,
007497,中庚价值灵动灵活配置混合,混合型-灵活,,,,
007498,中庚价值灵动灵活配置混合(后端),混合型-灵活,,,,
007499,光大风格轮动混合C,混合型-偏股,,,,
007500,鹏华尊诚定开债发起式,债券型-长债,,,,
007501,万家科创主题灵活配置混合(LOF)C,混合型-灵活,2019-06-12,622.26万,,暂无评级
007502,前海开源裕和混合C,混合型-偏债,2019-06-14,4099.51万,,暂无评级
007505,华夏AH经济蓝筹股票A,指数型-股票,2019-07-16,3630.45万,,暂无评级
007506,华夏AH经济蓝筹股票C,指数型-股票,2019-07-16,5287.51万,,暂无评级
007507,大成中债3-5年国开债A,指数型-固收,2019-06-27,7.71亿,,暂无评级
007508,大成中债3-5年国开债C,指数型-固收,2019-06-27,699.69万,,暂无评级
007509,华商润丰灵活配置混合C,混合型-灵活,2019-06-19,3.54亿,,暂无评级
007510,南方泰元债券A,债券型-长债,,,,
007511,南方泰元债券C,债券型-长债,,,,
007512,工银沪港深股票C,股票型,2019-05-30,1.10亿,,暂无评级
007513,博时富丰3个月定开债,债券型-长债,,,,
007515,鹏华稳利短债债券A,债券型-中短债,2019-10-30,55.17亿,,暂无评级
007516,融通增润三个月定开债,债券型-长债,,,,
007517,博时富淳3个月定开债,债券型-长债,,,,
007518,东方阿尔法优选混合A,混合型-偏股,2019-09-12,5805.10万,,暂无评级
007519,东方阿尔法优选混合C,混合型-偏股,2019-09-12,2016.63万,,暂无评级
007520,富安达富利纯债A,债券型-长债,2019-07-23,1.49亿,,暂无评级
007521,南方日添益F,货币型-普通货币,,,,
007522,南方理财金交易型货币E,货币型-普通货币,,,,
007523,汇添富内需增长股票A,股票型,2019-07-31,3.29亿,,暂无评级
007524,汇添富内需增长股票C,股票型,2019-07-31,4082.39万,,暂无评级
007525,易方达年年恒夏一年定开债A,债券型-长债,2019-07-11,22.74亿,,暂无评级
007526,易方达年年恒夏一年定开债C,债券型-长债,2019-07-11,2120.31万,,暂无评级
007527,融通量化多策略混合A,混合型-灵活,2019-08-21,2179.89万,,暂无评级
007528,融通量化多策略混合C,混合型-灵活,2019-08-21,198.59万,,暂无评级
007529,嘉实汇鑫中短债A,债券型-中短债,2019-09-26,185.21亿,,暂无评级
007530,嘉实汇鑫中短债C,债券型-中短债,2019-09-26,28.27亿,,暂无评级
007531,华宝券商ETF联接C,指数型-股票,2019-06-13,36.50亿,,暂无评级
007532,国泰盛合三个月定开债,债券型-长债,,,,
007533,格林创新成长混合A,混合型-偏股,2019-09-02,538.76万,,暂无评级
007534,格林创新成长混合C,混合型-偏股,2019-09-02,346.24万,,暂无评级
007535,中欧盈和债券,债券型-长债,,,,
007536,博时富乐纯债债券A,债券型-长债,,,,
007537,景顺长城景泰盈利纯债,债券型-长债,,,,
007538,永赢沪深300ETF发起联接A,指数型-股票,2019-07-09,9.05亿,,暂无评级
007539,永赢沪深300ETF发起联接C,指数型-股票,2019-07-09,2.89亿,,暂无评级
007540,华泰保兴安悦债券A,债券型-长债,2019-07-11,31.13亿,,暂无评级
007542,永赢开泰中高等级中短债A,债券型-中短债,2019-08-28,62.26亿,,暂无评级
007543,永赢开泰中高等级中短债C,债券型-中短债,2019-08-28,11.01亿,,暂无评级
007544,鹏华尊晟定期开放发起式债券,债券型-长债,,,,
007545,太平恒安三个月定开债,债券型-长债,2019-06-27,34.44亿,,暂无评级
007546,融通增享纯债债券A,债券型-长债,,,,
007548,易方达ESG责任投资股票,股票型,2019-09-02,4.19亿,,暂无评级
007549,中泰开阳价值优选混合A,混合型-灵活,2019-09-06,14.07亿,,暂无评级
007550,东兴未来价值混合C,混合型-灵活,2019-07-26,5372.15万,,暂无评级
007551,鑫元泽利A,债券型-混合一级,2019-09-02,6.73亿,,暂无评级
007552,中信建投稳裕定开债C,债券型-长债,,,,
007553,中信建投医改混合C,混合型-灵活,2019-06-18,7.43亿,,暂无评级
007554,财通恒利纯债,债券型-长债,,,,
007555,中航瑞明纯债A,债券型-长债,,,,
007556,中航瑞明纯债C,债券型-长债,,,,
007557,中加优选中高等级债券A,债券型-长债,2019-12-05,4.96亿,,暂无评级
007558,中加优选中高等级债券C,债券型-长债,2019-12-05,596.54万,,暂无评级
007559,鑫元富利三个月定期开放债,债券型-长债,,,,
007560,国联恒鑫纯债A,债券型-长债,2019-08-20,7983.81万,,暂无评级
007561,国联恒鑫纯债C,债券型-长债,2019-08-20,312.69万,,暂无评级
007562,景顺长城景泰纯利债券A,债券型-混合一级,2019-10-21,49.36亿,,暂无评级
007563,兴银汇逸定开债,债券型-长债,,,,
007564,鹏扬淳明债券A,债券型-长债,2019-12-25,8.23亿,,暂无评级
007565,鹏扬淳明债券C,债券型-长债,2019-12-25,1978.14万,,暂无评级
007566,中银宁享债券,债券型-长债,,,,
007567,南方恒新39个月A,债券型-长债,2019-07-31,80.26亿,,暂无评级
007568,南方恒新39个月C,债券型-长债,2019-07-31,843.91万,,暂无评级
007569,南方安福混合C,混合型-偏债,2019-06-26,2608.22万,,暂无评级
007570,方正富邦红利精选混合C,混合型-偏股,2019-06-27,273.83万,,暂无评级
007571,南方上证380ETF联接C,指数型-股票,2019-07-12,2896.44万,,暂无评级
007572,中加民丰纯债A,债券型-长债,2019-07-26,5.20亿,,暂无评级
007573,农银汇理丰盈三年定开债,债券型-长债,,,,
007574,宝盈新价值混合C,混合型-灵活,2019-07-01,6.01亿,,暂无评级
007575,宝盈祥泰混合C,混合型-偏债,2019-07-01,32.63万,,暂无评级
007576,华夏鼎琪三个月定开债券,债券型-长债,,,,
007577,宝盈祥瑞混合C,混合型-偏债,2019-07-01,12.09万,,暂无评级
007578,宝盈新锐混合C,混合型-灵活,2019-07-01,1076.52万,,暂无评级
007579,宝盈先进制造混合C,混合型-灵活,2019-07-01,2570.28万,,暂无评级
007580,宝盈中证A100指数增强C,指数型-股票,2019-07-01,835.69万,,暂无评级
007581,宝盈鸿利收益灵活配置混合C,混合型-灵活,2019-07-01,3785.59万,,暂无评级
007582,中泰青月中短债A,债券型-中短债,2019-08-09,30.04亿,,暂无评级
007583,中泰青月中短债C,债券型-中短债,2019-08-09,10.23亿,,暂无评级
007584,鹏华丰鑫债券A,债券型-长债,,,,
007585,工银瑞弘3个月定开债,债券型-长债,,,,
007586,华泰保兴多策略,股票型,2019-07-05,6792.87万,,暂无评级
007587,浙商丰裕纯债债券A,债券型-长债,2019-12-19,9.99亿,,暂无评级
007588,浙商丰裕纯债债券C,债券型-长债,2019-12-19,958.41万,,暂无评级
007589,嘉实致元42个月定期债券,债券型-长债,,,,
007590,华宝绿色领先股票,股票型,2019-09-18,6475.51万,,暂无评级
007591,华夏恒益18个月定开债券,债券型-长债,2019-09-04,80.42亿,,暂无评级
007592,华夏价值精选混合,混合型-偏股,2020-01-10,5.49亿,,暂无评级
007593,鹏扬中证500质量成长ETF联接A,指数型-股票,2019-08-29,3.27亿,,暂无评级
007594,鹏扬中证500质量成长ETF联接C,指数型-股票,2019-08-29,2.73亿,,暂无评级
007595,招商添泽纯债A,债券型-长债,,,,
007596,招商添泽纯债C,债券型-长债,,,,
007598,广发民玉纯债A,债券型-长债,2020-01-20,15.01亿,,暂无评级
007600,泰康润颐63个月定开债券,债券型-长债,,,,
007603,景顺长城中短债A,债券型-中短债,2019-08-20,85.67亿,,暂无评级
007604,景顺长城中短债C,债券型-中短债,2019-08-20,2.15亿,,暂无评级
007605,嘉实沪深300红利低波动ETF联接A,指数型-股票,2019-12-09,13.56亿,,暂无评级
007606,嘉实沪深300红利低波动ETF联接C,指数型-股票,2019-12-09,11.60亿,,暂无评级
007609,汇安嘉诚债券A,债券型-混合一级,2019-08-09,2371.07万,,暂无评级
007610,汇安嘉诚债券C,债券型-混合一级,2019-08-09,3118.08万,,暂无评级
007611,汇安裕和纯债债券A,债券型-长债,,,,
007612,汇安裕和纯债债券C,债券型-长债,,,,
007616,富国投资级信用债债券型A,债券型-长债,2019-09-26,49.29亿,,暂无评级
007617,富国投资级信用债债券型C,债券型-长债,2019-09-26,1.74亿,,暂无评级
007618,富国投资级信用债债券型D,债券型-长债,2019-09-26,1775.88万,,暂无评级
007619,中欧润逸63个月定开债,债券型-长债,,,,
007632,华润元大安鑫灵活配置混合C,混合型-灵活,2019-08-01,11.98万,,暂无评级
007635,银河天盈中短债A,债券型-中短债,2019-10-31,3.80亿,,暂无评级
007636,银河天盈中短债C,债券型-中短债,2019-10-31,5440.61万,,暂无评级
007637,兴银鑫日享短债C,债券型-中短债,2019-09-06,7.09亿,,暂无评级
007638,前海开源康颐平衡养老三年(FOF),FOF-均衡型,2019-11-13,1.72亿,,暂无评级
007639,汇添富竞争优势灵活配置混合,混合型-灵活,2019-09-04,3.08亿,,暂无评级
007640,宏利永利债券,债券型-长债,2019-09-04,40.15亿,,暂无评级
007643,华安稳健养老目标一年持有混合发起式(FOF)A,FOF-稳健型,2019-11-26,5.37亿,,暂无评级
007644,华宝宝润债券A,债券型-长债,,,,
007645,平安季享裕定开债A,债券型-混合一级,2019-09-04,4.53亿,,暂无评级
007646,平安季享裕定开债C,债券型-混合一级,2019-09-04,0万,,暂无评级
007647,平安季享裕定开债E,债券型-混合一级,2019-09-04,4912.04万,,暂无评级
007649,博时颐泽平衡养老(FOF)A,FOF-均衡型,2019-08-28,9031.84万,,暂无评级
007650,工银养老2040三年持有混合发起式(FOF)A,FOF-均衡型,2019-09-17,1.81亿,,暂无评级
007651,工银养老2045三年持有混合发起式(FOF)A,FOF-均衡型,2020-01-21,1.25亿,,暂无评级
007652,华夏稳健养老一年持有混合(FOF)A,FOF-稳健型,2019-11-26,1.15亿,,暂无评级
007653,长盛稳益6个月A,债券型-长债,2019-07-26,3.53亿,,暂无评级
007654,长盛稳益6个月C,债券型-长债,2019-07-26,450.81万,,暂无评级
007655,南方定元中短债债券A,债券型-中短债,2019-11-05,3.06亿,,暂无评级
007656,南方定元中短债债券C,债券型-中短债,2019-11-05,2.59亿,,暂无评级
007657,东方红中证竞争力指数A,指数型-股票,2019-07-31,4.54亿,,暂无评级
007658,东方红中证竞争力指数C,指数型-股票,2019-07-31,7305.31万,,暂无评级
007659,博时富汇3个月定开债发起式,债券型-长债,,,,
007660,招商和悦均衡养老三年持有混合(FOF)A,FOF-均衡型,2019-12-03,2.49亿,,暂无评级
007661,南方养老目标2030三年持有混合发起(FOF)A,FOF-均衡型,2019-12-03,1.48亿,,暂无评级
